Sample,MSE-WO-Median_filter,MSE-W-Median_filter
10,10920.07568838746,10872.976009948401
30,10759.522769668145,10740.82541467293
50,10677.07151051355,10670.467658286263
100,10555.47254979454,10591.060084460662
150,10471.717756798573,10548.841575282797
